sku,store,round,sales,division,salesqty
100258,512,1,63.68,6,16
100258,551,1,67.66,6,17
100258,562,1,67.66,6,17
100258,566,1,51.74,6,13
100258,567,1,59.7,6,15
100258,569,1,123.38,6,31
100258,577,1,71.64,6,18
100258,1000,1,43.89,9,11
100258,1001,1,71.82,9,18
100258,1003,1,35.91,9,9
100258,1004,1,103.74,9,26
100258,1005,1,55.84,9,16
100258,1007,1,99.75,9,25
100258,1009,1,107.46,6,27
100258,1010,1,47.88,9,12
100258,1011,1,45.11,9,44
100258,1012,1,55.72,6,14
100258,1014,1,91.77,9,23
100258,1016,1,79.8,9,20
100258,1017,1,75.62,6,19
100258,1018,1,51.74,6,13
100258,1019,1,43.89,9,11
100258,1020,1,67.83,9,17
100258,1021,1,111.72,9,28
100258,1022,1,59.85,9,15
100258,1023,1,83.79,9,21
100258,1024,1,27.86,6,7
100258,1027,1,27.93,9,7
100258,1028,1,43.89,9,11
100258,1029,1,63.84,9,16
100258,1030,1,63.68,6,16
100258,1032,1,43.89,9,11
100258,1033,1,31.84,6,8
100258,1035,1,83.79,9,21
100258,1040,1,123.69,9,31
100258,1043,1,87.56,6,22
100258,1050,1,119.7,9,30
100258,1051,1,75.81,9,19
100258,1058,1,51.74,6,13
100258,1064,1,39.9,9,10
100258,1066,1,87.78,9,22
100258,1071,1,79.6,6,20
100258,1077,1,59.7,6,15
100258,1079,1,67.83,9,17
100258,1080,1,15.92,6,4
100258,1082,1,39.9,9,10
100258,1083,1,91.77,9,23
100258,1090,1,39.9,9,10
100258,1091,1,99.5,6,25
100258,1092,1,71.82,9,18
100258,1095,1,91.77,9,23
100258,1099,1,83.79,9,21
100258,1114,1,83.79,9,21
100258,1127,1,59.84,9,16
100258,1132,1,63.84,9,16
100258,1154,1,15.96,9,4
100258,1155,1,63.84,9,16
100258,1170,1,39.9,9,10
100258,1174,1,79.8,9,20
100258,1179,1,51.87,9,13
100258,1188,1,63.84,9,16
100258,1194,1,47.88,9,12
100258,1200,1,43.89,9,11
100258,1208,1,19.95,9,5
100258,1212,1,103.74,9,26
100258,1424,1,35.91,9,9
100258,2800,1,51.74,6,13
100258,2801,1,15.92,6,4
100258,2803,1,95.52,6,24
100258,2806,1,67.66,6,17
100258,2809,1,19.9,6,5
100258,2810,1,75.62,6,19
100258,2811,1,55.72,6,14
100258,2812,1,87.56,6,22
100258,2813,1,87.56,6,22
100258,2818,1,95.52,6,24
100258,2822,1,131.34,6,33
100258,2823,1,83.58,6,21
100258,2826,1,107.46,6,27
100258,2827,1,75.62,6,19
100258,2831,1,91.54,6,23
100258,2841,1,59.7,6,15
100258,2842,1,87.56,6,22
101890,512,1,194.74,6,13
101890,551,1,224.7,6,15
101890,562,1,149.8,6,10
101890,566,1,104.86,6,7
101890,567,1,59.92,6,4
101890,569,1,239.68,6,16
101890,577,1,239.68,6,16
101890,1000,1,16.99,9,1
101890,1001,1,101.94,9,6
101890,1003,1,50.97,9,3
101890,1004,1,50.97,9,3
101890,1005,1,101.94,9,6
101890,1007,1,186.89,9,11
101890,1009,1,389.48,6,26
101890,1010,1,16.99,9,1
101890,1011,1,118.93,9,7
101890,1012,1,89.88,6,6
101890,1014,1,118.93,9,7
101890,1016,1,101.94,9,6
101890,1017,1,29.96,6,2
101890,1018,1,143.79,6,10
101890,1019,1,220.87,9,13
101890,1021,1,203.88,9,12
101890,1022,1,33.98,9,2
101890,1023,1,33.98,9,2
101890,1024,1,119.84,6,8
101890,1027,1,84.95,9,5
101890,1028,1,67.96,9,4
101890,1030,1,194.74,6,13
101890,1032,1,49.97,9,3
101890,1033,1,84.88,6,6
101890,1035,1,16.99,9,1
101890,1040,1,84.95,9,5
101890,1043,1,104.86,6,7
101890,1050,1,118.93,9,7
101890,1051,1,49.97,9,3
101890,1058,1,254.66,6,17
101890,1064,1,33.98,9,2
101890,1066,1,50.97,9,3
101890,1071,1,89.88,6,6
101890,1077,1,134.82,6,9
101890,1079,1,50.97,9,3
101890,1080,1,104.86,6,7
101890,1083,1,133.92,9,8
101890,1090,1,152.9,9,10
101890,1091,1,149.8,6,10
101890,1092,1,84.95,9,5
101890,1095,1,84.95,9,5
101890,1099,1,152.91,9,9
101890,1114,1,16.99,9,1
101890,1127,1,33.98,9,2
101890,1154,1,50.97,9,3
101890,1155,1,67.96,9,4
101890,1170,1,33.98,9,2
101890,1188,1,118.93,9,7
101890,1194,1,67.96,9,4
101890,1208,1,25.62,9,3
101890,1212,1,33.98,9,2
101890,1424,1,50.97,9,3
101890,2800,1,74.9,6,5
101890,2801,1,104.86,6,7
101890,2803,1,89.88,6,6
101890,2806,1,119.84,6,8
101890,2809,1,104.86,6,7
101890,2810,1,134.82,6,9
101890,2811,1,224.7,6,15
101890,2812,1,179.76,6,12
101890,2813,1,188.73,6,13
101890,2818,1,89.88,6,6
101890,2822,1,225.68,6,16
101890,2823,1,155.72,6,12
101890,2826,1,125.76,6,10
101890,2827,1,158.77,6,11
101890,2831,1,44.94,6,3
101890,2841,1,107.82,6,8
101890,2842,1,44.94,6,3
103159,512,1,184.26,6,37
103159,551,1,79.68,6,16
103159,562,1,24.9,6,5
103159,566,1,54.78,6,11
103159,567,1,99.6,6,20
103159,569,1,64.74,6,13
103159,577,1,99.6,6,20
103159,1000,1,131.76,9,24
103159,1001,1,95.22,9,18
103159,1003,1,79.35,9,15
103159,1004,1,230.58,9,42
103159,1005,1,79.84,9,16
103159,1007,1,318.42,9,58
103159,1009,1,214.14,6,43
103159,1010,1,65.88,9,12
103159,1011,1,93.33,9,17
103159,1012,1,54.78,6,11
103159,1014,1,238.05,9,45
103159,1016,1,21.96,9,4
103159,1017,1,74.7,6,15
103159,1018,1,129.48,6,26
103159,1019,1,109.8,9,20
103159,1021,1,142.74,9,26
103159,1022,1,68.62,9,13
103159,1023,1,27.45,9,5
103159,1024,1,104.58,6,21
103159,1027,1,60.39,9,11
103159,1028,1,47.61,9,9
103159,1029,1,197.64,9,36
103159,1030,1,64.74,6,13
103159,1032,1,10.58,9,2
103159,1033,1,179.28,6,36
103159,1035,1,87.84,9,16
103159,1040,1,76.86,9,14
103159,1043,1,39.84,6,8
103159,1050,1,179.86,9,34
103159,1051,1,132.25,9,25
103159,1058,1,169.32,6,34
103159,1064,1,31.74,9,6
103159,1066,1,89.93,9,17
103159,1071,1,204.18,6,41
103159,1077,1,104.58,6,21
103159,1079,1,93.33,9,17
103159,1080,1,69.72,6,14
103159,1082,1,71.41,9,14
103159,1083,1,68.77,9,13
103159,1090,1,54.9,9,10
103159,1091,1,119.52,6,24
103159,1092,1,82.35,9,15
103159,1099,1,203.13,9,37
103159,1114,1,159.21,9,29
103159,1127,1,120.78,9,22
103159,1132,1,76.86,9,14
103159,1155,1,98.82,9,18
103159,1170,1,76.86,9,14
103159,1179,1,71.37,9,13
103159,1188,1,84.64,9,16
103159,1194,1,82.35,9,15
103159,1200,1,47.61,9,9
103159,1208,1,46.65,9,10
103159,1212,1,225.09,9,41
103159,1424,1,79.35,9,15
103159,2800,1,328.68,6,66
103159,2801,1,79.68,6,16
103159,2803,1,49.8,6,10
103159,2806,1,104.58,6,21
103159,2809,1,54.78,6,11
103159,2810,1,89.64,6,18
103159,2811,1,74.7,6,15
103159,2812,1,49.8,6,10
103159,2813,1,104.58,6,21
103159,2818,1,69.72,6,14
103159,2822,1,74.7,6,15
103159,2823,1,89.64,6,18
103159,2826,1,54.78,6,11
103159,2827,1,104.58,6,21
103159,2831,1,89.64,6,18
103159,2841,1,134.46,6,27
103159,2842,1,124.5,6,25
104879,1000,1,32.44,9,6
104879,1001,1,99.84,9,16
104879,1003,1,37.45,9,9
104879,1004,1,79.86,9,14
104879,1005,1,157.23,9,27
104879,1007,1,174.71,9,29
104879,1010,1,87.36,9,14
104879,1011,1,232.15,9,35
104879,1014,1,152.26,9,24
104879,1016,1,187.22,9,28
104879,1019,1,64.88,9,12
104879,1020,1,74.88,9,12
104879,1021,1,149.75,9,25
104879,1022,1,102.35,9,15
104879,1023,1,27.45,9,5
104879,1027,1,82.36,9,14
104879,1028,1,49.9,9,10
104879,1029,1,147.26,9,24
104879,1032,1,174.71,9,29
104879,1035,1,199.68,9,32
104879,1040,1,174.76,9,24
104879,1050,1,89.85,9,15
104879,1051,1,97.34,9,16
104879,1064,1,54.91,9,9
104879,1066,1,167.23,9,27
104879,1079,1,92.37,9,13
104879,1082,1,62.4,9,10
104879,1083,1,87.37,9,13
104879,1090,1,69.89,9,11
104879,1092,1,92.34,9,16
104879,1099,1,102.33,9,17
104879,1114,1,99.85,9,15
104879,1127,1,57.39,9,11
104879,1132,1,54.92,9,8
104879,1142,1,62.41,9,9
104879,1155,1,42.43,9,7
104879,1170,1,9.98,9,2
104879,1179,1,34.94,9,6
